,info,timestamp,datetime,symbol,id,order,type,takerOrMaker,side,price,amount,cost,fee
0,"{'id': '1328781047', 'price': '1937.3', 'size': '1.748', 'side': 'sell', 'liquidation': False, 'time': '2021-06-21T18:40:23.803140+00:00'}",1624300823803,2021-06-21T18:40:23.803Z,ETH/USD,1328781047,,,,sell,1937.3,1.748,3386.4004,
1,"{'id': '1328781046', 'price': '1937.5', 'size': '1.651', 'side': 'sell', 'liquidation': False, 'time': '2021-06-21T18:40:23.803140+00:00'}",1624300823803,2021-06-21T18:40:23.803Z,ETH/USD,1328781046,,,,sell,1937.5,1.651,3198.8125,
2,"{'id': '1328781062', 'price': '1937.4', 'size': '1.135', 'side': 'buy', 'liquidation': False, 'time': '2021-06-21T18:40:24.521442+00:00'}",1624300824521,2021-06-21T18:40:24.521Z,ETH/USD,1328781062,,,,buy,1937.4,1.135,2198.949,
3,"{'id': '1328781154', 'price': '1937.2', 'size': '1.6', 'side': 'buy', 'liquidation': False, 'time': '2021-06-21T18:40:25.631158+00:00'}",1624300825631,2021-06-21T18:40:25.631Z,ETH/USD,1328781154,,,,buy,1937.2,1.6,3099.52,
4,"{'id': '1328781256', 'price': '1937.7', 'size': '0.757', 'side': 'buy', 'liquidation': False, 'time': '2021-06-21T18:40:27.274076+00:00'}",1624300827274,2021-06-21T18:40:27.274Z,ETH/USD,1328781256,,,,buy,1937.7,0.757,1466.8389,
5,"{'id': '1328781303', 'price': '1937.8', 'size': '0.028', 'side': 'sell', 'liquidation': False, 'time': '2021-06-21T18:40:28.476835+00:00'}",1624300828476,2021-06-21T18:40:28.476Z,ETH/USD,1328781303,,,,sell,1937.8,0.028,54.2584,
6,"{'id': '1328781348', 'price': '1937.2', 'size': '0.001', 'side': 'sell', 'liquidation': False, 'time': '2021-06-21T18:40:29.539552+00:00'}",1624300829539,2021-06-21T18:40:29.539Z,ETH/USD,1328781348,,,,sell,1937.2,0.001,1.9372,
7,"{'id': '1328781351', 'price': '1937.3', 'size': '0.757', 'side': 'buy', 'liquidation': False, 'time': '2021-06-21T18:40:29.596557+00:00'}",1624300829596,2021-06-21T18:40:29.596Z,ETH/USD,1328781351,,,,buy,1937.3,0.757,1466.5361,
8,"{'id': '1328781350', 'price': '1937.3', 'size': '0.114', 'side': 'buy', 'liquidation': False, 'time': '2021-06-21T18:40:29.596557+00:00'}",1624300829596,2021-06-21T18:40:29.596Z,ETH/USD,1328781350,,,,buy,1937.3,0.114,220.8522,
9,"{'id': '1328781432', 'price': '1937.7', 'size': '0.034', 'side': 'sell', 'liquidation': False, 'time': '2021-06-21T18:40:31.682565+00:00'}",1624300831682,2021-06-21T18:40:31.682Z,ETH/USD,1328781432,,,,sell,1937.7,0.034,65.8818,
10,"{'id': '1328781437', 'price': '1937.7', 'size': '0.309', 'side': 'sell', 'liquidation': False, 'time': '2021-06-21T18:40:31.883224+00:00'}",1624300831883,2021-06-21T18:40:31.883Z,ETH/USD,1328781437,,,,sell,1937.7,0.309,598.7493,
11,"{'id': '1328781468', 'price': '1937.7', 'size': '0.774', 'side': 'sell', 'liquidation': False, 'time': '2021-06-21T18:40:33.628713+00:00'}",1624300833628,2021-06-21T18:40:33.628Z,ETH/USD,1328781468,,,,sell,1937.7,0.774,1499.7798,
12,"{'id': '1328781605', 'price': '1937.4', 'size': '0.139', 'side': 'sell', 'liquidation': False, 'time': '2021-06-21T18:40:36.348808+00:00'}",1624300836348,2021-06-21T18:40:36.348Z,ETH/USD,1328781605,,,,sell,1937.4,0.139,269.2986,
13,"{'id': '1328781613', 'price': '1937.4', 'size': '1.461', 'side': 'sell', 'liquidation': False, 'time': '2021-06-21T18:40:36.416929+00:00'}",1624300836416,2021-06-21T18:40:36.416Z,ETH/USD,1328781613,,,,sell,1937.4,1.461,2830.5414,
14,"{'id': '1328781715', 'price': '1937.0', 'size': '0.85', 'side': 'buy', 'liquidation': False, 'time': '2021-06-21T18:40:38.742470+00:00'}",1624300838742,2021-06-21T18:40:38.742Z,ETH/USD,1328781715,,,,buy,1937.0,0.85,1646.45,
15,"{'id': '1328781718', 'price': '1937.0', 'size': '0.452', 'side': 'buy', 'liquidation': False, 'time': '2021-06-21T18:40:38.743668+00:00'}",1624300838743,2021-06-21T18:40:38.743Z,ETH/USD,1328781718,,,,buy,1937.0,0.452,875.524,
16,"{'id': '1328781717', 'price': '1937.0', 'size': '0.665', 'side': 'buy', 'liquidation': False, 'time': '2021-06-21T18:40:38.743078+00:00'}",1624300838743,2021-06-21T18:40:38.743Z,ETH/USD,1328781717,,,,buy,1937.0,0.665,1288.105,
17,"{'id': '1328781716', 'price': '1937.0', 'size': '0.285', 'side': 'buy', 'liquidation': False, 'time': '2021-06-21T18:40:38.743078+00:00'}",1624300838743,2021-06-21T18:40:38.743Z,ETH/USD,1328781716,,,,buy,1937.0,0.285,552.045,
18,"{'id': '1328781789', 'price': '1937.4', 'size': '1.6', 'side': 'buy', 'liquidation': False, 'time': '2021-06-21T18:40:41.230293+00:00'}",1624300841230,2021-06-21T18:40:41.230Z,ETH/USD,1328781789,,,,buy,1937.4,1.6,3099.84,
19,"{'id': '1328781798', 'price': '1937.6', 'size': '0.001', 'side': 'buy', 'liquidation': False, 'time': '2021-06-21T18:40:41.324962+00:00'}",1624300841324,2021-06-21T18:40:41.324Z,ETH/USD,1328781798,,,,buy,1937.6,0.001,1.9376,
